# bin x_uniform uniform1 uniform2 x_gaussian gaussian1 gaussian2 
    1    0.010001   19827   20104     -2.94      1094    1329
    2    0.0300009   20032   20079     -2.82       890    1068
    3    0.0500005   20101   19907      -2.7      1213    1365
    4    0.0700004   20096   20083     -2.58      1763    1772
    5    0.0900002   20066   20044     -2.46      2405    2411
    6     0.11   20044   19749     -2.34      3108    3189
    7     0.13   19969   20141     -2.22      3976    4114
    8     0.15   19924   19900      -2.1      5220    5247
    9     0.17   19998   20059     -1.98      6571    6842
   10     0.19   20207   19896     -1.86      8335    8577
   11     0.21   20008   19925     -1.74     10402   10449
   12     0.23   19843   20121     -1.62     12826   12902
   13     0.25   20031   19966      -1.5     15575   15588
   14     0.27   20178   20024     -1.38     18593   18626
   15     0.29   19914   19908     -1.26     21619   21549
   16     0.31   20084   19929     -1.14     25052   25173
   17     0.33   19947   20094     -1.02     28713   28138
   18     0.35   19915   20261      -0.9     31847   31846
   19     0.37   19929   19919     -0.78     35229   35409
   20     0.39   19945   19765     -0.66     38969   38433
   21     0.41   20153   19921     -0.54     41701   41152
   22     0.43   19852   20183     -0.42     43786   43869
   23     0.45   19984   19825      -0.3     45555   46058
   24     0.47   19874   20169     -0.18     47054   46929
   25     0.49   20010   20002     -0.06     47683   47997
   26     0.51   20090   19835      0.06     47536   47544
   27     0.53   19806   19989      0.18     47551   46983
   28     0.55   20157   19693       0.3     45518   45357
   29     0.57   19914   19942      0.42     43809   43735
   30     0.59   19668   20236      0.54     41452   41218
   31     0.61   19830   19956      0.66     38811   38769
   32     0.63   19901   19978      0.78     35207   35390
   33     0.65   20115   20088       0.9     32019   32135
   34     0.67   20247   19993      1.02     28605   28480
   35     0.69   20094   20048      1.14     24949   24662
   36     0.71   19850   19871      1.26     21515   21847
   37     0.73   20148   20249      1.38     18327   18506
   38     0.75   20005   20039       1.5     15595   15562
   39     0.77   19979   19938      1.62     12768   12806
   40     0.79   19993   20048      1.74     10523   10588
   41     0.81   19915   19836      1.86      8418    8629
   42     0.83   20126   20186      1.98      6771    6687
   43     0.85   20072   20091       2.1      5265    5183
   44     0.87   20129   20074      2.22      4040    3968
   45     0.89   20142   19917      2.34      3025    3168
   46     0.91   19887   19887      2.46      2354    2407
   47     0.93   19893   19897      2.58      1762    1828
   48     0.95   20236   20219       2.7      1297    1337
   49     0.97   19870   20080      2.82      1022     927
   50     0.99   20002   20331      2.94       764     688
